category,phrase,title,url,publish_date,media_name,media_url,coded_narrative,ageism_present,voice_representation,notes
limiting,elderly burden,Evening home blood pressure and pulse rate: age-specific associations with nocturia severity,https://www.nature.com/articles/s41371-023-00803-3,2023-01-24,nature.com,nature.com,,,,
limiting,aging population crisis,The border shouldn't be used as political theater,https://www.abqjournal.com/2564721/the-border-shouldnt-be-used-as-political-theater.html,2023-01-14,abqjournal.com,abqjournal.com,,,,
neutral,population aging,Kick-off event planned for Aboyne Rural Hospice,https://www.wellingtonadvertiser.com/kick-off-event-planned-for-aboyne-rural-hospice/?utm_source=rss&utm_medium=rss&utm_campaign=kick-off-event-planned-for-aboyne-rural-hospice,2023-09-05,wellingtonadvertiser.com,wellingtonadvertiser.com,,,,
neutral,elderly population,China pledges 'final victory' over COVID as outbreak raises global alarm,https://www.ctvnews.ca/health/coronavirus/china-pledges-final-victory-over-covid-as-outbreak-raises-global-alarm-1.6216878,2023-01-04,ctvnews.ca,ctvnews.ca,,,,
neutral,elderly population,2023 outlook: India will mark its rise by showing leadership: Editor-in-Chief of Nikkei Asia,http://www.asiapacificstar.com/news/273310650/2023-outlook-india-will-mark-its-rise-by-showing-leadership-editor-in-chief-of-nikkei-asia,2023-01-04,asiapacificstar.com,asiapacificstar.com,,,,
neutral,elderly population,RSL wilfully blind to the harm of problem gambling,https://www.theage.com.au/politics/nsw/rsl-wilfully-blind-to-the-harm-of-problem-gambling-20230102-p5c9sv.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2023-01-02,theage.com.au,theage.com.au,,,,
neutral,population aging,Two wanted women turn themselves in at Chatham-Kent police headquarters,https://windsor.ctvnews.ca/two-wanted-women-turn-themselves-in-at-chatham-kent-police-headquarters-1.6217133,2023-01-04,ctvnews.ca,ctvnews.ca,,,,
neutral,population aging,Japan is paying families to leave Tokyo. Here's why,https://grenadachronicle.com/japan-is-paying-families-to-leave-tokyo-heres-why/,2023-01-04,grenadachronicle.com,grenadachronicle.com,,,,
neutral,population aging,UK leader calls crisis meeting over struggling health system,http://www.baynews9.com/fl/tampa/ap-online/2023/01/07/uk-leader-calls-crisis-meeting-over-struggling-health-system,2023-01-07,baynews9.com,baynews9.com,,,,
neutral,elderly population,China slams 'unacceptable' Covid curbs on travellers from its territory,https://www.thecitizen.co.tz/tanzania/news/international/china-slams-unacceptable-covid-curbs-on-travellers-from-its-territory-4074244,2023-01-03,thecitizen.co.tz,thecitizen.co.tz,,,,
neutral,elderly population,Caregiver burden: Easing the physical and mental toll,https://myimessenger.com/news/caregiver-burden-easing-the-physical-and-mental-toll/,2023-01-01,myimessenger.com,myimessenger.com,,,,
neutral,population aging,Cyber security expert has some advice to guard your online information,https://northernontario.ctvnews.ca/cyber-security-expert-has-some-advice-to-guard-your-online-information-1.6216571,2023-01-03,ctvnews.ca,ctvnews.ca,,,,
neutral,population aging,Editorial: Limits to Japan's debt reliance evident as BOJ raises bond yield cap,https://mainichi.jp/english/articles/20230107/p2a/00m/0op/023000c,2023-01-07,mainichi.jp,mainichi.jp,,,,
neutral,elderly population,France urges EU peers to test Chinese travellers for COVID,https://www.moneycontrol.com/news/world-news/france-urges-eu-peers-to-test-chinese-travellers-for-covid_16793571.html,2023-01-03,moneycontrol.com,moneycontrol.com,,,,
