date,total_count,count,ratio,phrase,category,month
2023-06-15,512254,34,6.63733226094867e-05,aging population crisis,limiting,2023-06
2023-06-16,479492,13,2.711202689513068e-05,aging population crisis,limiting,2023-06
2023-06-17,313647,7,2.2318083705567087e-05,aging population crisis,limiting,2023-06
2023-06-18,297948,12,4.027548431269886e-05,aging population crisis,limiting,2023-06
2023-06-19,454954,16,3.516839065048334e-05,aging population crisis,limiting,2023-06
2023-06-20,501975,28,5.577967030230589e-05,aging population crisis,limiting,2023-06
2023-06-21,511651,10,1.9544572374528732e-05,aging population crisis,limiting,2023-06
2023-06-22,500891,16,3.194307743600903e-05,aging population crisis,limiting,2023-06
2023-06-23,462693,20,4.322520548182056e-05,aging population crisis,limiting,2023-06
2023-06-24,311142,16,5.1423465813037135e-05,aging population crisis,limiting,2023-06
2023-06-25,294103,22,7.480372522551623e-05,aging population crisis,limiting,2023-06
2023-06-26,466890,25,5.354580307995459e-05,aging population crisis,limiting,2023-06
2023-06-27,488208,69,0.00014133320224166747,aging population crisis,limiting,2023-06
2023-06-28,487306,40,8.20839472528555e-05,aging population crisis,limiting,2023-06
2023-06-29,476127,22,4.620615928103216e-05,aging population crisis,limiting,2023-06
2023-06-30,457265,26,5.6859807770111425e-05,aging population crisis,limiting,2023-06
2023-07-01,303381,5,1.6480926623618488e-05,aging population crisis,limiting,2023-07
2023-07-02,284625,2,7.026789635485288e-06,aging population crisis,limiting,2023-07
2023-07-03,445952,15,3.3635907003444314e-05,aging population crisis,limiting,2023-07
2023-07-04,455884,71,0.00015574137280536276,aging population crisis,limiting,2023-07
2023-07-05,501180,34,6.783989784109502e-05,aging population crisis,limiting,2023-07
2023-07-06,493339,19,3.851307113364238e-05,aging population crisis,limiting,2023-07
2023-07-07,463370,25,5.395256490493558e-05,aging population crisis,limiting,2023-07
2023-07-08,305403,9,2.9469258651683186e-05,aging population crisis,limiting,2023-07
2023-07-09,291177,4,1.373734876037599e-05,aging population crisis,limiting,2023-07
2023-07-10,454453,31,6.821387470211442e-05,aging population crisis,limiting,2023-07
2023-07-11,492786,23,4.667340387105153e-05,aging population crisis,limiting,2023-07
2023-07-12,495376,18,3.633603565776299e-05,aging population crisis,limiting,2023-07
2023-07-13,488915,17,3.477087019216019e-05,aging population crisis,limiting,2023-07
2023-07-14,449795,6,1.333941017574673e-05,aging population crisis,limiting,2023-07
2023-07-15,300453,6,1.99698455332448e-05,aging population crisis,limiting,2023-07
2023-07-16,288895,9,3.1153187144118105e-05,aging population crisis,limiting,2023-07
2023-07-17,452038,135,0.0002986474588419558,aging population crisis,limiting,2023-07
2023-07-18,489747,55,0.00011230288291709802,aging population crisis,limiting,2023-07
2023-07-19,486941,43,8.830638619463139e-05,aging population crisis,limiting,2023-07
2023-07-20,476929,16,3.354797045262502e-05,aging population crisis,limiting,2023-07
2023-07-21,454340,10,2.200994849672052e-05,aging population crisis,limiting,2023-07
2023-07-22,300123,6,1.9991803360622145e-05,aging population crisis,limiting,2023-07
2023-07-23,292470,9,3.07723869114781e-05,aging population crisis,limiting,2023-07
2023-07-24,453290,16,3.529749167199806e-05,aging population crisis,limiting,2023-07
2023-07-25,481260,28,5.818060923409384e-05,aging population crisis,limiting,2023-07
2023-07-26,491615,63,0.0001281490597317006,aging population crisis,limiting,2023-07
2023-07-27,487834,21,4.304743006842491e-05,aging population crisis,limiting,2023-07
